produtos,CLAS,vencimento,ESTOQUE
SONDA ENDOTRAQUEAL N°5.0,UND,,90.0
SONDA ENDOTRAQUEAL N°7.0,UND,,50.0
SONDA ENDOTRAQUEAL N°7.5,UND,,60.0
SONDA ENDOTRAQUEAL N°8.0,UND,,40.0
SONDA ENDOTRAQUEAL N°8.5,UND,,10.0
SONDA ENTERAL N°8 ,NULO,,0.0
SONDA GÁSTRICA LONGA N°20,UND,,93.0
SONDA GÁSTRICA N°18,UND,,23.0
SONDA NASO  CURTA N°20,UND,,130.0
SONDA NASO CURTA N°6,UND,,
SONDA NASO LONGA 10,UND,,168.0
SONDA NASO LONGA 6,UND,,98.0
sonda naso longa número 18,UND,,30.0
SONDA NASO LONGA16,UND,,362.0
sonda NASO N°18,UND,,230.0
SONDA NASOGÁSTRICA  LONGA  N°12,UND,,100.0
SONDA NASOGÁSTRICA LONGA  N°22,UND,,50.0
SONDA NASOGASTRICA LONGA N°14,UND,,77.0
SONDA NASOGASTRICA LONGA N°24 ,UND,,70.0
SONDA NUTRIÇÃO ENTERAL 6 (INFANTIL),UND,,98.0
SONDA PVC ATÓXICA SILICONIZADA,UND,,61.0
SONDA URETRAL DE ALÍVIO N° 10,NULO,,0.0
SONDA URETRAL N°10,UND,,440.0
SONDA URETRAL N°12 ,UND,,808.0
SONDA URETRAL N°14 TRANSF.MARROM GÁS ETO,UND,,
SONDA URETRAL N°20,NULO,,0.0
SONDA URETRAL N°8,UND,,450.0
SONDA URETRAL Nº 14,UND,,183.0
SONDA URETRAL Nº 16,UND,,40.0
SONDA URETRAL Nº 18,UND,,100.0
sonda uretral número 24,UND,,500.0
SORO 100 ML,UND,,40.0
soro 250 ml ,UND,,0.0
SORO GLICOSADO 250 ML,UND,,44.0
SORO GLICOSADO 250 ML,,,
SORO GLICOSADO 500 ML,UND,,304.0
SORO GLICOSADO 500 ML,,,
SORO500 ML,UND,,347.0
SULFADIAZINA DE PRATA,UND,2026-02-01 00:00:00,182.0
SUPORTE DE SORO,,,
TALA ARAMADA G,UND,,33.0
TALA ARAMADA M,UND,,2.0
TALA ARAMADA p,UND,,4.0
TALA ARAMADA PP,UND,,2.0
termômetro caixa de vacina,UND,2028-11-01 00:00:00,6.0
TERMÔMETRO DIGITAL,NULO,,0.0
TERMÔMETRO INFRAVERMELHO,UND,,0.0
TESOURA DE PICOTAR,UND,,19.0
TESOURA ESCOLAR,UND,,41.0
TESOURA MULTIUSO,UND,,39.0
TINTA PARA CARIMBO,NULO,,0.0
TNT 50M,RL,,3.0
TOALHA DE BANHO,,,
TOALHA DE PAPEL (COZINHA),,,
TOALHA DE ROSTO PEQUENA,,,
TOALHA DE ROSTO/MÃO,,,
TOLCA DESCARTÁVEL,,,
TORNEIRA 3 VIAS c/luer simples,NULO,,0.0
TORNEIRA 3 VIAS descarpack,NULO,,0.0
Torneira 3 vias descarpak,UND,,850.0
TUBO DE COLA QUENTE GROSSA ,PCT,,2.0
TUBO DE LATEX 15 M,PCT,,
TUBO ENDOTRAQUEAL   N°4.0,UND,,10.0
TUBO ENDOTRAQUEAL  N/8.5,UND,,80.0
TUBO ENDOTRAQUEAL  N°3.0,UND,,70.0
TUBO ENDOTRAQUEAL  N°3.5,UND,,80.0
TUBO ENDOTRAQUEAL  N°4.5,UND,,10.0
TUBO ENDOTRAQUEAL  N°8.0,UND,,10.0
TUBO ENDOTRAQUEAL  N°9.0,UND,,90.0
TUBO ENDOTRAQUEAL 5.5,CX,,10.0
TUBO ENDOTRAQUEAL 6.0,UND,,70.0
TUBO ENDOTRAQUEAL 6.5,UND,,80.0
TUBO ENDOTRAQUEAL 7.0,UND,,60.0
TUBO ENDOTRAQUEAL 7.5,NULO,,0.0
TUBO SANGUE VÁCUO  4ML 13x75 C 1000 UND,PCT,2026-10-01 00:00:00,11.0
VÁLVULA REGULADORA DE OXIGÊNIO + FLUX.,UND,,16.0
VASELINA LÍQUIDA 1L,NULO,,0.0
VASSOURA DE GARI,,,
VASSOURA DE PELO,,,
VASSOURA PIAÇAVA,,,
VELA DE FILTRO,,,
